artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
ñengo flow,gato de noche,54ELExv56KCAB4UP9cOCzC,https://open.spotify.com/artist/12vb80Km0Ew53ABfJOepVz,https://open.spotify.com/track/54ELExv56KCAB4UP9cOCzC,Latin,0.892,0.662,8,-3.894,1,0.162,0.169,1.24e-06,0.363,0.607,93.976,227013
yandel,yandel 150,2oiixB9QMIzhWaHGVlQx4g,https://open.spotify.com/artist/0eHQ9o50hj6ZDNBt6Ys1sD,https://open.spotify.com/track/2oiixB9QMIzhWaHGVlQx4g,Latin,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,216148
bad bunny,moscow mule,6Xom58OOXk2SoU711L2IXO,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO,Latin,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,0.292,99.968,245940
j balvin,la canción,0fea68AdmYNygeTGI4RC18,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,Latin,0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,242573
bizarrap,"quevedo: bzrp music sessions, vol. 52",2tTmW7RDtMQtBk7m2rYeSw,https://open.spotify.com/artist/716NhGYqD1jl2wI1Qkgq36,https://open.spotify.com/track/2tTmW7RDtMQtBk7m2rYeSw,Latin,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,128.033,198938
ozuna,hey mor,1zsPaEkglFvxjAhrM8yhpr,https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY,https://open.spotify.com/track/1zsPaEkglFvxjAhrM8yhpr,Latin,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,98.002,196600
bad bunny,neverita,31i56LZnwE6uSu3exoHjtB,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB,Latin,0.876,0.498,10,-7.511,1,0.0478,0.0706,0.0,0.143,0.428,122.016,173119
manuel turizo,la bachata,5ww2BF9slyYgNOk37BlC4u,https://open.spotify.com/artist/0tmwSHipWxN12fsoLcFU3B,https://open.spotify.com/track/5ww2BF9slyYgNOk37BlC4u,Latin,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,124.98,162638
anuel aa,mas rica que ayer,3XjvMZqm2AQ8thMCD6w9w2,https://open.spotify.com/artist/2R21vXR83lH98kGeO99Y66,https://open.spotify.com/track/3XjvMZqm2AQ8thMCD6w9w2,Latin,0.818,0.666,11,-5.319,1,0.0759,0.343,0.0,0.0922,0.529,93.95,199149
bad bunny,party,4tYFy8ALRjIZvnvSLw5lxN,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN,Latin,0.829,0.799,9,-5.389,1,0.0897,0.0151,0.000543,0.242,0.471,97.013,227629
arcángel,la jumpa,5MxFWjuqQIsbNWbMdMdbli,https://open.spotify.com/artist/4SsVbpTthjScTS7U2hmr1X,https://open.spotify.com/track/5MxFWjuqQIsbNWbMdMdbli,Latin,0.713,0.703,8,-5.769,1,0.194,0.298,0.0,0.321,0.576,123.06,255693
jhayco,no me conoce - remix,2beS6dD5rovBxSA1zYoSHR,https://open.spotify.com/artist/6nVcHLIgY5pE2YCl8ubca1,https://open.spotify.com/track/2beS6dD5rovBxSA1zYoSHR,Latin,0.804,0.787,10,-3.824,0,0.0746,0.14,0.0,0.0927,0.562,91.974,309120
cartel de santa,shorty party,55ZATsjPlTeSTNJOuW90pW,https://open.spotify.com/artist/07PdYoE4jVRF6Ut40GgVSP,https://open.spotify.com/track/55ZATsjPlTeSTNJOuW90pW,Latin,0.928,0.468,2,-8.196,1,0.364,0.328,4.27e-06,0.0986,0.47,96.006,265000
bad bunny,yonaguni,2JPLbjOn0wPCngEot2STUS,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS,Latin,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951,206710
don omar,dile,69Ej1xrGjOcHvIMtMKxK0G,https://open.spotify.com/artist/33ScadVnbm2X8kkUqOkC6Z,https://open.spotify.com/track/69Ej1xrGjOcHvIMtMKxK0G,Latin,0.817,0.714,4,-7.501,0,0.141,0.184,0.000132,0.042,0.714,94.001,204600
karol g,provenza,3HqcNJdZ2seoGxhn0wVNDK,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,https://open.spotify.com/track/3HqcNJdZ2seoGxhn0wVNDK,Latin,0.87,0.517,1,-7.918,1,0.0475,0.576,0.00553,0.11,0.54,111.002,207627
bad bunny,tarot,41oY4WCTj5kccfesTVFnvN,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN,Latin,0.795,0.684,11,-3.971,0,0.0419,0.0225,0.0,0.658,0.419,114.011,237895
karol g,x si volvemos,4NoOME4Dhf4xgxbHDT7VGe,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,https://open.spotify.com/track/4NoOME4Dhf4xgxbHDT7VGe,Latin,0.794,0.807,1,-3.447,0,0.326,0.334,0.0,0.104,0.575,178.003,200120
karol g,mañana será bonito,4bycD60yZgR6anIBtmU8UH,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,https://open.spotify.com/track/4bycD60yZgR6anIBtmU8UH,Latin,0.777,0.715,8,-4.569,0,0.0874,0.455,3.5e-05,0.326,0.245,92.006,210973
daddy yankee,gasolina,228BxWXUYQPJrJYHDLOHkj,https://open.spotify.com/artist/4VMYDCV2IEDYJArk749S6m,https://open.spotify.com/track/228BxWXUYQPJrJYHDLOHkj,Latin,0.852,0.797,0,-6.543,1,0.0614,0.322,2.69e-06,0.0845,0.741,96.008,192600
wisin & yandel,besos moja2,6OzUIp8KjuwxJnCWkXp1uL,https://open.spotify.com/artist/1wZtkThiXbVNtj6hee6dz9,https://open.spotify.com/track/6OzUIp8KjuwxJnCWkXp1uL,Latin,0.736,0.727,5,-4.642,0,0.0571,0.0584,1.91e-06,0.0976,0.644,94.048,229065
karol g,tus gafitas,3gOI5aQD4mOMLsP3aWrkon,https://open.spotify.com/artist/790FomKkXshlbRYZFtlgla,https://open.spotify.com/track/3gOI5aQD4mOMLsP3aWrkon,Latin,0.821,0.696,8,-5.796,0,0.043,0.315,1.07e-05,0.157,0.566,122.005,167787
feid,remix exclusivo,3eqCJfgJJs8iKx49KO12s3,https://open.spotify.com/artist/2LRoIwlKmHjgvigdNGBHNo,https://open.spotify.com/track/3eqCJfgJJs8iKx49KO12s3,Latin,0.651,0.557,5,-5.466,0,0.204,0.0358,0.0,0.154,0.711,87.063,206947
farruko,pepas,5fwSHlTEWpluwOM0Sxnh5k,https://open.spotify.com/artist/329e4yvIujISKGKz1BZZbO,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k,Latin,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120
bad bunny,dákiti,47EiUVwUp4C9fGccaPuUCS,https://open.spotify.com/artist/4q3ewBCX7sLwd24euuV69X,https://open.spotify.com/track/47EiUVwUp4C9fGccaPuUCS,Latin,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,205090
